Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
AAT,"American Assets Trust, Inc.",24.96,-1.88679245,-0.48,Sell,301052,7514257.92,1510781678,38.86936593,0.6545,208,Finance
AHT,Ashford Hospitality Trust Inc,7.31,0.68870523,0.05,Sell,296589,2168065.59,252191178,,-5.4223,119,Finance
FPI,Farmland Partners Inc.,13.07,-1.80315552,-0.24,Sell,267257,3493048.99,709658095,,0.015,27,Finance
CIO,"City Office REIT, Inc.",9.74,-1.31712259,-0.13,Sell,262399,2555766.26,404919765,0.96057459,10.4218,19,Finance
GTY,Getty Realty Corporation,27.09,-1.45507457,-0.4,Sell,247536,6705750.24,1266011594,15.98162898,1.7219,31,Finance
BHR,Braemar Hotels & Resorts Inc.,4.55,-2.36051502,-0.11,Sell,231279,1052319.45,325138045,78.45117845,0.095,,Finance
ONL,Orion Office REIT Inc.,9.09,-0.21953897,-0.02,Sell,226939,2062875.51,514812525.00000006,,-1.4689,26,Finance
IIPR,"Innovative Industrial Properties, Inc.",90.12,-3.32546664,-3.1,Sell,221688,19978522.56,2520965646,18.34064572,5.1862,18,Finance
CHMI,Cherry Hill Mortgage Investment Corporation,4.97,-0.6,-0.03,Sell,216229,1074658.13,99651689,14.33897333,0.3489,12,Finance
CLDT,Chatham Lodging Trust (REIT),11.04,-0.63006301,-0.07,Neutral,213894,2361389.76,538823795,,-0.4256,17,Finance
TRTX,"TPG RE Finance Trust, Inc.",7.32,-2.65957447,-0.2,Sell,184592,1351213.44,566592765,7.84150156,1.0268,,Finance
LAND,Gladstone Land Corporation,18.46,-1.12479914,-0.21,Sell,182750,3373565,631516763,,-0.2871,69,Finance
GOOD,Gladstone Commercial Corporation - Real Estate Investment Trust,15.62,-1.20177103,-0.19,Sell,179408,2802352.96,626225165,1860,0.0085,69,Finance
WSR,Whitestone REIT,8.38,-2.55813953,-0.22,Sell,169925,1423971.5,413719861,25.2792475,0.3472,86,Finance
LTC,"LTC Properties, Inc.",36.74,-0.89020772,-0.33,Sell,166739,6125990.86,1488145959,15.91601906,2.3365,25,Finance
IVT,InvenTrust Properties Corp.,22.18,-2.84713097,-0.65,Sell,143808,3189661.44,1495543446,34.51247166,0.6634,115,Finance
CHCT,Community Healthcare Trust Incorporated,31.6,-0.31545741,-0.1,Sell,141784,4480374.4,793136515,37.28534462,0.8502,30,Finance
NHI,"National Health Investors, Inc.",52.25,-1.41509434,-0.75,Sell,141780,7408005,2333231858,36.04216253,1.4706,20,Finance
MITT,"AG Mortgage Investment Trust, Inc.",3.77,-1.82291667,-0.07,Sell,138589,522480.53,84832809,,-0.822,,Finance
UBA,Urstadt Biddle Properties Inc.,16.96,-0.8766803,-0.15,Buy,137350,2329456,693617723,26.87715991,0.6444,57,Finance
LFT,"Lument Finance Trust, Inc.",2.07,0.48543689,0.01,Sell,125210,259184.7,108118480,8.71404399,0.2364,600,Finance
NXRT,"NexPoint Residential Trust, Inc.",40.04,-3.47155256,-1.44,Strong Sell,109163,4370886.52,1029875853.9999998,67.70034275,0.8312,3,Finance
AFCG,"AFC Gamma, Inc.",16.03,-0.24891101,-0.04,Sell,99888,1601204.64,318321702,8.02617121,2.0123,,Finance
BRT,BRT Apartments Corp. (MD),20.25,-1.2195122,-0.25,Sell,88178,1785604.5,382090635,5.12589703,4.0114,9,Finance
CSR,D/B/A Centerspace,64.52,-2.96285156,-1.97,Sell,78830,5086111.6,991824138,,-2.257,462,Finance
PSTL,"Postal Realty Trust, Inc.",14.86,0.67750678,0.1,Sell,77866,1157088.76,335787473,120,0.123,37,Finance
UHT,Universal Health Realty Income Trust,43.22,-0.7805326,-0.34,Sell,69218,2991601.96,596466197,5.58125232,7.8166,,Finance
AJX,Great Ajax Corp.,7.79,-0.25608195,-0.02,Sell,65994,514093.26,177091925,17.4408218,0.4768,,Finance
CORR,"CorEnergy Infrastructure Trust, Inc.",1.58,0,0,Sell,65362,103271.96,24876498,,-0.3648,155,Finance
PINE,"Alpine Income Property Trust, Inc.",16.09,0.24922118,0.04,Sell,61976,997193.84,190944506,8.81287063,2.0878,,Finance
CBL,"CBL & Associates Properties, Inc.",25.5,-1.92307692,-0.5,Sell,58045,1480147.5,811261551,,-29.2344,460,Finance
CTO,"CTO Realty Growth, Inc.",17.87,-1.70517052,-0.31,Sell,53764,960762.68,327331578,14.24988243,1.2758,19,Finance
OLP,"One Liberty Properties, Inc.",21.75,-1.0013655,-0.22,Sell,52905,1150683.75,459497333,12.0667875,1.8334,9,Finance
SOHO,Sotherly Hotels Inc.,1.93,1.57894737,0.03,Sell,50044,96584.92,35540465,,-0.0939,10,Finance
EARN,Ellington Residential Mortgage REIT,6.29,-2.17729393,-0.14,Sell,43623,274388.67,82269384,,-2.297,170,Finance
BFS,"Saul Centers, Inc.",37.24,-2.79300444,-1.07,Sell,40710,1516040.4,889319408,22.51410437,1.7026,113,Finance
SELF,"Global Self Storage, Inc.",5.395,-1.55109489,-0.085,Strong Sell,34488,186062.76,59159844,21.7029703,0.2534,28,Finance
AAIC,Arlington Asset Investment Corp,2.8,-3.11418685,-0.09,Strong Sell,27686,77520.8,80894667,,-0.0605,11,Finance
NREF,"NexPoint Real Estate Finance, Inc.",16.12,-1.76721511,-0.29,Sell,27658,445846.96,240988060,5.0691956,4.5584,,Finance
INDT,"INDUS Realty Trust, Inc.",49.22,-2.41871531,-1.22,Strong Sell,15215,748882.3,501665809,29.23041261,1.7706,37,Finance
NYC,"New York City REIT, Inc.",3.31,-5.96590909,-0.21,Strong Sell,13514,44731.34,45713973,,-2.8191,,Finance
CLPR,Clipper Realty Inc.,6.6,-3.08370044,-0.21,Sell,12726,83991.6,106017295,,-0.425,144,Finance
WHLR,"Wheeler Real Estate Investment Trust, Inc.",1.56,1.96078431,0.03,Neutral,12407,19354.92,15276632,,-1.4124,36,Finance
SEVN,Seven Hills Realty Trust,9.41,0.74946467,0.07,Sell,11060,104074.6,137744175,3.39957778,2.7483,,Finance
PEI,Pennsylvania Real Estate Investment Trust,2.85,2.51798561,0.07,Sell,10235,29169.75,15302961,,-25.6916,158,Finance
WMC,Western Asset Mortgage Capital Corporation,9.421,0.11689692,0.011,Sell,10013,94332.473,56884086,,-10.6722,,Finance
ALX,"Alexander's, Inc.",203.26,-1.09964967,-2.26,Sell,8891,1807184.66,1038107792,9.0678856,22.6646,70,Finance
LOAN,"Manhattan Bridge Capital, Inc",5.3,0.37878788,0.02,Sell,8515,45129.5,60923213,12.00272789,0.4399,6,Finance
MDV,Modiv Inc.,10.72,0.37453184,0.04,Sell,7229,77494.88,79934300,,-1.2484,14,Finance
ACR,ACRES Commercial Realty Corp.,8.25,-4.46523693,-0.3856,Strong Sell,5612,46299,73711338,,-0.4841,,Finance
MDRR,"Medalist Diversified REIT, Inc.",0.817,-0.06116208,-0.0005,Sell,5505,4497.585,14447402,,-0.2073,,Finance
UBP,Urstadt Biddle Properties Inc.,18.25,0.49559471,0.09,Strong Buy,5140,93805,693617723,28.52654728,0.6444,57,Finance
CMCT,Creative Media & Community Trust Corporation,6.69,-1.03550296,-0.07,Neutral,4608,30827.52,156271324,,-0.5449,5,Finance
